Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
4300,"789,825",1719.997884,91.50720755,0.092077863,5.079203934,0.002523256,184.7703337,1.236789621,109.2906492,0.697275232,32.47166482,0.261774482,38.44073009,0.065136565,0.557865392,0.005906034,45.14180071,1.020547882,135.9371128,1.832119453,87.38551427,2.873714213,74.3027952,0.551897971,0,0
4400,"775,524",1741.787253,93.61111309,0.093201597,5.37475772,0.002634203,185.6132519,1.242390433,110.3625773,0.704137983,33.04728943,0.266116193,39.75392948,0.066955582,0.573612593,0.006084734,46.18532558,1.042510608,137.4608079,1.841775349,88.45146548,2.895331131,75.54866189,0.55856245,0,0
4500,"761,473",1763.223316,95.71482122,0.094307075,5.664861016,0.002740633,186.4047562,1.24756371,111.4308903,0.710802366,33.54018302,0.269739307,41.09844767,0.068812232,0.595667074,0.006292669,47.18894012,1.063341786,138.9542924,1.851173149,89.48666866,2.916552666,76.78654028,0.565192214,0,0
4600,"747,830",1784.21526,97.6846398,0.095314964,5.960846989,0.002851396,187.1719392,1.252552587,112.4122396,0.717142906,34.05105601,0.273423715,42.43202156,0.070612796,0.610084738,0.006417388,48.20364041,1.084364098,140.4248831,1.860036481,90.50082411,2.937149428,77.96605196,0.571273143,0,0
4700,"734,817",1804.945414,99.74010463,0.096399584,6.268163811,0.002959819,187.9300548,1.257517223,113.3919007,0.723132046,34.53396497,0.276884141,43.71280219,0.072354684,0.630334666,0.006584753,49.23774438,1.104691961,141.8106386,1.868683045,91.49639943,2.957209633,79.17453986,0.577619455,0,0
4800,"722,097",1825.345224,101.7809847,0.097446458,6.564955149,0.003062274,188.6607283,1.262485708,114.3219688,0.728906003,35.02599952,0.280407755,45.05805669,0.074176262,0.656107419,0.006814508,50.23190416,1.124397653,143.1701418,1.877057495,92.46112659,2.976635733,80.32068935,0.583678885,0,0
4900,"709,828",1845.401021,103.7763272,0.098432372,6.864082283,0.003165177,189.3611613,1.267212562,115.253263,0.73464483,35.51243113,0.283966447,46.30348085,0.075810586,0.673225355,0.006977577,51.21597612,1.144622626,144.4558948,1.885114153,93.41416585,2.995844403,81.46020125,0.589598051,0,0
5000,"697,935",1865.235071,105.8797169,0.099499893,7.167424142,0.003262433,190.0649358,1.271940873,116.136911,0.740114038,36.00910428,0.287467615,47.57559403,0.077517277,0.698915792,0.007211884,52.14431429,1.163014023,145.7633141,1.892986908,94.39091687,3.014436689,82.58910003,0.595543707,0,0
5100,"686,224",1884.657031,107.830639,0.100450138,7.469078434,0.003359848,190.7188529,1.276296322,117.0388176,0.745915257,36.47211779,0.290787012,48.82737547,0.079176958,0.723391289,0.007418502,53.00209415,1.179614166,146.9858077,1.900280152,95.33559992,3.032799226,83.71690798,0.601286607,0,0
5200,"675,066",1903.801263,109.7838149,0.101388893,7.768278814,0.003457007,191.3472654,1.280333941,117.8809233,0.751180381,36.90558962,0.29391715,50.00690233,0.080769631,0.742526159,0.00760107,53.90625808,1.197547941,148.163369,1.90754383,96.23084912,3.050073385,84.76005807,0.606820138,0,0
5300,"664,367",1922.624237,111.6760005,0.102284717,8.067031167,0.00355094,191.9759073,1.284441575,118.725158,0.756250354,37.36522259,0.297262262,51.26419601,0.082416417,0.759404835,0.007732128,54.82830816,1.215912617,149.4039737,1.914908316,97.1473249,3.067537424,85.78760458,0.612235987,0,0
