Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
3900,1163208,1979.721389,74.11731769,0.080416666,3.927101251,0.002053527,159.373439,1.062066621,85.25139312,0.531317887,22.03244209,0.178622846,24.96534625,0.044030681,0.421293464,0.004537163,34.41574477,0.788675201,112.7569487,1.558954641,67.18219899,2.273488171,56.53889152,0.44720696,0,0,122.2927886,3.975129273,165.991253,1.185351711,37.70607311,0.179989014,0.174488705,0.000930095
4000,1141779,2011.196601,76.07358455,0.081640562,4.183631632,0.002158794,160.6579612,1.070590652,86.4250862,0.538615253,22.60653084,0.18313309,26.06240938,0.045665423,0.442810871,0.004760738,35.41228205,0.809686338,114.4169879,1.57324591,68.28347093,2.30101509,57.78679919,0.454456219,0,0,123.8803462,4.011178603,171.1483904,1.218796256,38.65938502,0.183507719,0.19048182,0.000963927
4100,1120974,2042.159265,78.04474813,0.082850758,4.453805912,0.002266712,161.8759658,1.078644914,87.64560623,0.546317717,23.1052351,0.186847666,27.15869578,0.047283699,0.465341096,0.004988122,36.36658715,0.829376877,116.1279153,1.586966631,69.40886573,2.328203637,59.02111966,0.461362444,0,0,125.409074,4.045912703,176.0474617,1.250533832,39.63376531,0.187004748,0.208207643,0.000997261
4200,1100740,2072.541672,79.9350829,0.083972708,4.712827577,0.002370358,163.0977703,1.086890381,88.78803246,0.554023815,23.608468,0.190609997,28.23904136,0.048875263,0.486339053,0.005193539,37.27345418,0.848663936,117.822338,1.600486095,70.48196855,2.35464942,60.23199,0.468308659,0,0,126.9383274,4.079639431,180.9650529,1.282315246,40.59394517,0.190481721,0.215619978,0.001013681
4300,1081152,2102.469058,81.8645386,0.085091841,4.958287859,0.002467202,164.30354,1.094855267,89.87837138,0.561063076,24.11647978,0.194432676,29.37047775,0.050494772,0.503624887,0.00535154,38.22861214,0.868610665,119.4243565,1.613371274,71.54225547,2.380368535,61.38478501,0.474912747,0,0,128.4213509,4.112257821,185.7435183,1.313657444,41.51851235,0.193776713,0.227678282,0.001041087
4400,1062328,2131.941877,83.82030629,0.086216878,5.214832473,0.002566023,165.4276543,1.102436837,90.9703853,0.568064585,24.60920261,0.198179309,30.42735885,0.05205708,0.52212132,0.005547694,39.14110719,0.887519083,120.963422,1.625765613,72.58245637,2.405352022,62.52313321,0.481464625,0,0,129.8249302,4.142686507,190.6246978,1.345300854,42.40683139,0.197006851,0.237970918,0.001070764
4500,1044049,2160.876849,85.68581283,0.087274709,5.472018411,0.002661626,166.5116813,1.109739163,92.02526379,0.574959905,25.10716816,0.201984858,31.47994674,0.053534378,0.539190217,0.005717663,40.13110384,0.90838916,122.4758629,1.637894679,73.59614977,2.429062767,63.66141181,0.487855836,0,0,131.213858,4.173117687,195.4160885,1.375757134,43.32076618,0.200328159,0.250875441,0.001089934
4600,1026285,2189.353255,87.54179885,0.088295077,5.756287448,0.002765497,167.5878492,1.116946326,93.04504416,0.581821144,25.59529684,0.20554954,32.60433314,0.05512561,0.556638951,0.005891639,41.03539575,0.927114921,123.9284978,1.649583983,74.58652543,2.45278351,64.76632397,0.494104028,0,0,132.5744302,4.202692448,200.1254299,1.406397947,44.23943625,0.203566919,0.272058989,0.00112141
4700,1009054,2217.3574,89.35665691,0.089308562,6.036582321,0.00286661,168.6092379,1.123791624,94.09610788,0.588608118,26.06866801,0.209013617,33.77951154,0.056749886,0.566817672,0.00597541,41.92254959,0.945194394,125.3468547,1.660915756,75.55703441,2.475580643,65.85635702,0.500233175,0,0,133.8926907,4.231455807,204.7868223,1.436314515,45.11846797,0.206638327,0.284249656,0.001151539
4800,992282,2244.843378,91.06126846,0.090249126,6.312434757,0.002966836,169.6347135,1.13065306,95.11511911,0.594958008,26.55054708,0.212624628,34.8339827,0.058252133,0.592478244,0.006186658,42.81385368,0.963227603,126.785208,1.672067038,76.56524019,2.498933248,66.98233863,0.506356804,0,0,135.1988619,4.258563758,209.4232123,1.465267551,45.97689998,0.209725407,0.296139509,0.001181121
4900,976051,2272.086729,92.97457334,0.091290226,6.58295872,0.00306067,170.6357085,1.137431138,96.08664671,0.601201125,27.07463726,0.216475172,35.91231658,0.059745236,0.609506154,0.006351089,43.69480002,0.98134268,128.1665396,1.683095519,77.56983282,2.521936254,68.06063348,0.512432964,0,0,136.3590659,4.283480928,214.1060448,1.494861556,46.83590193,0.212754886,0.312028994,0.00119805
5000,959958,2298.88901,94.84808954,0.092282435,6.849260089,0.003149711,171.5892999,1.14389848,97.05992497,0.607417991,27.5469976,0.220002954,37.01353885,0.061285543,0.628832474,0.006529516,44.48667404,0.99741874,129.5391336,1.693444106,78.50680056,2.543338388,69.12737964,0.518490323,0,0,137.5286759,4.309304919,218.7323902,1.523526062,47.74543075,0.215874648,0.323625198,0.001223444
5100,944432,2325.224266,96.63687956,0.093236579,7.120109102,0.003237666,172.5095666,1.150149759,98.03405779,0.613901812,27.99894985,0.223414299,38.0870686,0.062772436,0.647454898,0.006694654,45.31272974,1.013652921,130.8257651,1.703524453,79.45198945,2.564605016,70.17945753,0.524187177,0,0,138.6431153,4.333357666,223.256568,1.551993058,48.64726908,0.219032869,0.336998399,0.001248117
5200,929350,2351.145686,98.39095791,0.094163431,7.399439137,0.00333032,173.41233,1.156209037,98.97754741,0.619781287,28.46136399,0.226898228,39.14874753,0.064202865,0.661825734,0.006832271,46.07975621,1.029321037,132.1442821,1.713394316,80.39761279,2.585275442,71.24275781,0.529971689,0,0,139.7858699,4.358370389,227.8243969,1.580532749,49.3964738,0.22153896,0.352557602,0.001267244
5300,914610,2376.728917,100.1875088,0.095105166,7.673136774,0.003419235,174.3096785,1.162263378,99.90478376,0.625674807,28.9305045,0.23038228,40.17303102,0.065630745,0.677119462,0.006974405,46.91827242,1.046990399,133.3928991,1.723188488,81.32655815,2.605804017,72.25797062,0.535428834,0,0,140.857586,4.381530131,232.2173199,1.607550845,50.17299356,0.224125849,0.365811785,0.001288748
5400,900340,2401.882692,101.9071714,0.095976444,7.937947013,0.003503709,175.1410629,1.167853265,100.8002748,0.631711201,29.38117611,0.233626655,41.22394486,0.067072479,0.699223945,0.007160934,47.7297933,1.062960717,134.6102192,1.732641582,82.20076908,2.62613234,73.23085975,0.540883307,0,0,141.9773325,4.405294132,236.7171552,1.635500862,50.96178735,0.226808252,0.378151592,0.001307595
5500,886404,2426.679379,103.6267011,0.096847549,8.192920335,0.003581621,176.0030932,1.173665119,101.7299483,0.637748288,29.80536342,0.236780806,42.2337413,0.068471213,0.719875074,0.007365371,48.55726177,1.079506713,135.8441948,1.742216735,83.0725684,2.646069317,74.26106379,0.546531363,0,0,143.0148574,4.427887261,241.1949186,1.66346006,51.73189253,0.229465787,0.383174359,0.001319333
5600,872766,2451.0835,105.2936668,0.09764865,8.455889136,0.003658451,176.8120582,1.179056083,102.5757177,0.64314672,30.20712465,0.239787321,43.30621481,0.069917366,0.741767091,0.007544976,49.36042392,1.095597643,137.0323081,1.751024272,83.92911978,2.665414511,75.23543613,0.551765591,0,0,143.9936316,4.448960549,245.5796491,1.690158762,52.4867493,0.232059451,0.401525466,0.001351061
5700,859667,2475.118532,106.9214104,0.098432077,8.738839509,0.003741993,177.6089612,1.184498845,103.4208034,0.648685831,30.67013732,0.243209808,44.34435952,0.0712899,0.760713651,0.007706167,50.13756652,1.110632708,138.2276131,1.759946568,84.83533547,2.684862789,76.19731601,0.556962422,0,0,145.0029492,4.470004251,249.9673353,1.716940296,53.30255159,0.234738714,0.423136728,0.001380016
5800,846703,2498.943982,108.6957716,0.099259417,8.987355735,0.00381457,178.3875238,1.189827225,104.2627566,0.654104305,31.11823423,0.246546631,45.35653261,0.072641468,0.779642727,0.007871303,50.92514862,1.125704595,139.3492312,1.768335443,85.64884744,2.702909768,77.17284664,0.562143527,0,0,145.9302893,4.490617681,254.2755314,1.743197587,54.08384123,0.237256173,0.441411796,0.001418033
5900,834061,2522.413414,110.4352391,0.100092516,9.27005216,0.003894461,179.1497004,1.194989424,105.0966297,0.659616149,31.5221185,0.249517626,46.42373474,0.074062967,0.793624676,0.008000827,51.73158034,1.141585103,140.4914804,1.776832681,86.49790512,2.721526912,78.11391931,0.56726294,0,0,146.8417033,4.510447989,258.4891595,1.768886869,54.85241928,0.239823097,0.462106136,0.001443276
