Maximum,membership,maxed_value,er_value,er_utilization,ip_value,ip_admits,primary_care_value,primary_care_utilization,specialist_value,specialist_utilization,mental_health_value,mental_health_utilization,imaging_value,imaging_utilization,speech_value,speech_utilization,occupation_physical_therapy_value,occupation_physical_therapy_utilization,preventive_care_value,preventive_care_utilization,laboratory_value,laboratory_utilization,x_rays_value,x_ray_utilization,skilled_nursing_value,skilled_nursing_utilization,generic_value,generic_utilization,preferred_value,preferred_utilization,non_preferred_value,non_preferred_utilization,specialty_value,specialty_utilization
3800,83715,1757.591756,60.01068725,0.060459896,4.141794042,0.002222058,147.5064427,0.971679689,68.11867712,0.419113262,19.00631045,0.15984322,20.47441206,0.033752119,0.468119703,0.004776322,23.61758533,0.536345157,108.8790924,1.539023845,64.24767179,2.352162986,49.58672921,0.388759402,0,0,118.9986707,4.072031475,1.41E+02,1.094742899,35.26036903,0.20555487,0.063401312,0.000420467
3900,82132,1785.293308,61.84113253,0.061563591,4.364737497,0.002321379,148.5070355,0.978320721,68.99635208,0.42471265,19.39904308,0.16350891,21.26846344,0.034918157,0.477265721,0.004839952,24.36531197,0.550050925,110.2876308,1.550723628,65.10646057,2.376419012,50.50200232,0.393950579,0,0,120.3043044,4.099669105,1.46E+02,1.124224172,36.58697555,0.210922433,0.062937892,0.000416648
4000,80535,1812.593316,63.73598357,0.062659891,4.579605876,0.002418551,149.4286285,0.984304665,69.85700336,0.42993126,19.72560872,0.166037036,22.08852234,0.035966529,0.485516311,0.004947325,24.94851763,0.561683705,111.6176425,1.562300269,66.07314117,2.39973394,51.4341466,0.399019967,0,0,121.5592202,4.127247914,1.49E+02,1.149673195,37.57204749,0.215412592,0.071562125,0.000420226
4100,79094,1839.479593,65.67101819,0.063761737,4.774495005,0.002496525,150.4757799,0.991518905,70.77572549,0.435495351,20.17828266,0.169673134,23.22478076,0.037532778,0.49807315,0.00515725,25.64274137,0.574740675,113.0767683,1.575261009,67.07247929,2.423820179,52.71559286,0.40618304,0,0,122.7208359,4.155495637,1.53E+02,1.178773136,38.5280733,0.219555452,0.072344491,0.000423062
4200,77589,1865.674037,67.33600181,0.064563441,5.175521221,0.00265024,151.3958594,0.997574222,71.52514791,0.440228211,20.52149111,0.172323574,24.16866308,0.038793514,0.516270314,0.005307562,26.20304135,0.585369043,114.6243513,1.586504227,68.07945813,2.446103376,53.73516882,0.411168955,0,0,123.9393452,4.183308796,1.57E+02,1.205876218,39.39426802,0.223367378,0.073773242,0.000426113
4300,76198,1891.390795,68.92748174,0.065518395,5.442540532,0.002758383,152.3742773,1.004154231,72.4191106,0.445777722,20.94305999,0.17550038,25.17026495,0.040173579,0.537585281,0.005502436,26.80096852,0.596029197,115.9720369,1.596636352,68.86720156,2.46648913,54.63441956,0.416172382,0,0,125.3217484,4.216988176,1.61E+02,1.231272384,40.14875561,0.226486757,0.087402107,0.000434641
4400,74910,1916.78548,70.60891824,0.066404024,5.804989502,0.002906419,153.2914198,1.010257357,73.18915322,0.450836406,21.36655834,0.178926272,26.11471117,0.041495467,0.569022253,0.005736505,27.45155799,0.609906256,117.4826217,1.606921939,69.80251406,2.487804521,55.59054041,0.421523656,0,0,126.3260918,4.238717748,1.65E+02,1.257391528,40.92355704,0.229491404,0.113566111,0.000464399
4500,73579,1941.740503,72.23024943,0.067221925,6.024523571,0.00299091,154.1585511,1.015824585,74.01329468,0.456358774,21.73685055,0.181692693,27.3281834,0.043029435,0.568603305,0.005732194,28.22229235,0.62502668,118.8863848,1.616556406,70.61715454,2.507668786,56.48657092,0.426870566,0,0,127.4493119,4.264520716,1.68E+02,1.28109386,41.74265874,0.233071444,0.130950293,0.000467449
4600,72335,1966.461077,74.01498787,0.068165601,6.316706436,0.003093916,154.9362721,1.020776681,74.70827953,0.460435966,22.09142542,0.184463745,28.41402536,0.044436874,0.602622704,0.006082156,28.66260292,0.634140845,120.075565,1.625617624,71.52420818,2.528006296,57.37143616,0.431572737,0,0,128.5653382,4.288181398,1.72E+02,1.30509036,42.49299539,0.236171104,0.13084383,0.000469313
4700,71132,1990.824888,75.8139537,0.069152436,6.593239542,0.003211482,155.6897866,1.026171984,75.52895906,0.464867643,22.53511131,0.187644876,29.42972071,0.045720192,0.626238738,0.006293131,29.23968255,0.644478172,121.2691909,1.634069892,72.38086974,2.546329172,58.16084309,0.435819221,0,0,129.6233966,4.312274285,1.76E+02,1.332220173,43.13013213,0.238929144,0.14338666,0.000476501
