Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
6100,286310,2296.444882,129.3620202,0.124130173,13.08554186,0.004988164,213.1280414,1.418268031,135.7771964,0.868435991,57.84943895,0.445438948,66.80776245,0.106241587,0.86245994,0.008160608,83.45874502,1.839583216,177.8006665,2.172116141,112.4949261,3.347813609,102.7597128,0.758139939,0,0
6200,282209,2314.744035,130.9385906,0.12489416,13.44315549,0.005080837,213.6872981,1.422004487,136.565723,0.87330825,58.46161368,0.44984014,68.0137077,0.107875762,0.868199026,0.008247005,84.49231193,1.859616676,178.837443,2.178494843,113.338,3.363362069,103.7847247,0.763766263,0,0
6300,278346,2332.905696,132.6426167,0.125733493,13.73523205,0.005156678,214.3206308,1.426493691,137.3460052,0.878250253,59.08496942,0.454264951,69.22413563,0.10955446,0.890469648,0.008459921,85.64631623,1.882183265,179.7360927,2.18461353,114.1685588,3.379480301,104.8216121,0.769461492,0,0
6400,274506,2350.789048,134.2996751,0.126577605,14.0727118,0.005236549,214.9091422,1.430494879,138.1803343,0.883477613,59.69720691,0.458475599,70.47073092,0.111280093,0.901079788,0.008579478,86.75788314,1.903672093,180.633678,2.190935634,114.9904288,3.395568526,105.8322592,0.775360484,0,0
6500,270739,2368.396056,135.901546,0.127392433,14.41563241,0.005320702,215.5112912,1.434590072,138.9639677,0.888404127,60.29446595,0.462735401,71.75374704,0.112962286,0.926041028,0.008803428,87.874361,1.925675067,181.5964694,2.197383918,115.8097591,3.411234611,106.8698588,0.781032237,0,0
7500,266992,2532.229612,151.0599433,0.134315539,18.07274066,0.006125329,220.4470472,1.467750621,145.9980627,0.931826243,65.78793987,0.501269236,83.1588964,0.12824617,1.144275355,0.010726652,97.89950408,2.11800925,189.3296622,2.25023912,123.1237457,3.550813811,115.7979427,0.830516898,0,0
10000,234851,2865.751426,182.6972058,0.147276324,34.12301962,0.008640994,228.8563508,1.523455333,158.9772566,1.009916651,75.71689796,0.570607342,106.6320376,0.158842516,1.608378397,0.014350535,118.1290927,2.492900038,201.9446553,2.342030862,137.6930603,3.820225503,134.0327657,0.929353713,0.006570123,3.00928E-06
15000,177905,3325.613244,225.998615,0.163297047,110.6332019,0.017189246,237.6918526,1.581930459,173.9640094,1.098453779,85.54809713,0.638051123,136.3328943,0.197284795,2.147999969,0.018431219,143.7541586,2.935055493,214.3951278,2.451791057,155.6459164,4.158842111,158.7816068,1.059719906,0.030175006,1.02373E-05
20000,112624,3626.740228,253.9445556,0.17270772,204.4764937,0.025228884,242.348368,1.61261958,182.4927513,1.146927955,90.48093964,0.671432249,154.7314715,0.220539895,2.428530891,0.020455916,159.8945254,3.19030631,220.3900813,2.515893557,166.9897812,4.370984596,176.0224371,1.145022441,0.073377266,2.32355E-05
25000,76912,3838.60142,272.3793835,0.17902128,287.9838831,0.03122723,245.3136036,1.631525899,187.941096,1.176954579,93.49605589,0.691337609,166.2928417,0.234967873,2.759529878,0.022674589,171.1177368,3.353500584,224.0669999,2.554883868,174.6263151,4.509368069,187.8888593,1.20227422,0.120599239,3.66621E-05
