Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
3900,"55,638",1382.904671,69.95492793,0.07195725,5.417198818,0.003046884,148.7001339,1.114632247,77.1630821,0.553357434,25.01966219,0.235663104,30.64348127,0.05404934,0.522812542,0.005960554,28.58360819,0.714551015,115.2759343,1.777899093,72.85542371,2.905039158,58.01613087,0.482869916,0,0.00E+00
4000,"54,510",1401.986051,71.85896795,0.073026179,5.646700993,0.003138649,149.373525,1.119907939,77.93952459,0.558983184,25.42808287,0.239036031,31.92356522,0.05583044,0.567998353,0.00648674,29.27662896,0.729649301,116.3392492,1.785744004,73.72067049,2.926388786,58.82212531,0.487931061,0,0.00E+00
4100,"53,489",1420.484248,73.47713574,0.073885119,5.920937394,0.003263227,149.9654572,1.124436853,78.70232252,0.565003748,25.86342351,0.242630997,33.22350528,0.057636592,0.582429107,0.006615736,30.00687255,0.746419436,117.5627599,1.794114502,74.52102394,2.944213054,59.72031644,0.493600211,0,0.00E+00
4200,"52,475",1438.680261,75.08467159,0.07474202,6.218875419,0.003392813,150.4596247,1.128131885,79.31919202,0.569028367,26.2651452,0.246069239,34.36847377,0.059237418,0.608663795,0.006948857,30.51047498,0.756677431,118.52041,1.801131046,75.19405558,2.958997919,60.64401278,0.498631697,0,0.00E+00
4300,"51,599",1456.499195,76.58121055,0.075439802,6.460000426,0.00349659,151.007799,1.132464549,79.98866349,0.574167975,26.58134818,0.248782869,35.30697017,0.060785262,0.659727102,0.007488729,31.26089192,0.773221954,119.6554503,1.808238992,76.03890531,2.977648049,61.37977084,0.503016879,0,0.00E+00
4400,"50,720",1474.312854,78.3535246,0.076281645,6.706302854,0.00359133,151.4525957,1.135832312,80.75522829,0.579470536,26.80911346,0.250930196,36.36541732,0.062108463,0.687003221,0.007738792,31.87708496,0.78661426,120.5084545,1.814566276,76.8280426,2.995699244,62.1532957,0.507616534,0,0.00E+00
4500,"49,862",1491.885051,80.16046139,0.077165356,7.046012997,0.003715203,151.9136882,1.139283304,81.38576487,0.583242912,27.16869482,0.253971398,37.6459306,0.063786889,0.701996019,0.007865044,32.62791725,0.80312235,121.6602769,1.821870269,77.58161685,3.012242907,63.03818594,0.512885316,0,0.00E+00
4600,"48,947",1509.094888,81.87307838,0.078031842,7.267697092,0.00379713,152.3259631,1.142411645,82.02490353,0.587286319,27.56069764,0.257524664,38.77895182,0.065364457,0.713297942,0.007969766,33.34671907,0.820457401,122.7054078,1.828726316,78.36932218,3.028263854,63.90053672,0.517188427,0,0.00E+00
4700,"48,116",1525.967428,83.48103924,0.078847742,7.57006285,0.003897507,152.8390321,1.146027448,82.63481863,0.59116126,27.93204755,0.26060675,39.75830081,0.066738888,0.718637004,0.008011308,33.92327093,0.833409952,123.5626271,1.834440041,79.1014728,3.04380037,64.71559112,0.521326893,0,0.00E+00
4800,"47,351",1543.089544,85.60849629,0.079834065,7.948128238,0.00401239,153.3409288,1.149872708,83.22887287,0.595182002,28.28890591,0.263540801,41.02834937,0.068390445,0.746206887,0.00843636,34.54790706,0.847004747,124.3934762,1.840524615,79.72613098,3.058497391,65.53859311,0.526205305,0.00803931,1.70E-06
4900,"46,560",1559.59934,87.33978629,0.080581107,8.215880958,0.004108448,153.737365,1.152890871,83.76787909,0.598872564,28.59465147,0.266042625,42.31354836,0.070104905,0.771967183,0.008663648,35.07949205,0.858364543,125.183793,1.846313825,80.36348951,3.07133817,66.20359543,0.530014743,0.008027751,1.70E-06
5000,"45,851",1575.984868,89.1727399,0.081453909,8.522288013,0.004222717,154.1626047,1.156272786,84.34432861,0.602720228,28.9179902,0.268654574,43.50496351,0.071778115,0.782130154,0.008745228,35.6211761,0.870916561,126.1575463,1.852042227,81.01517113,3.084556385,67.07014052,0.535147099,0.008018297,1.69E-06
5100,"45,105",1592.141495,91.00191898,0.082205996,8.846213558,0.004331589,154.5652438,1.159618031,84.85318316,0.605990965,29.22539547,0.271042444,44.27528649,0.072816784,0.791998953,0.008798898,36.17399665,0.881991885,126.9419966,1.856906647,81.68376816,3.097991169,67.87666908,0.539509591,0.008006798,1.69E-06
5200,"44,399",1607.636364,92.36245182,0.082833,9.210998832,0.004436649,154.9592174,1.16266345,85.34096135,0.609015684,29.55709052,0.273740911,45.34085371,0.07428076,0.830744007,0.009224462,36.89719404,0.89648002,127.6717116,1.862250508,82.34000614,3.112464995,68.5947298,0.544284501,0.007995561,1.69E-06
5300,"43,703",1623.073125,93.87420164,0.083602369,9.375417702,0.004484181,155.3379675,1.165390772,85.86696044,0.612427125,29.81980216,0.2759888,46.35079233,0.075610407,0.872546794,0.009711382,37.591801,0.910485213,128.405048,1.867568162,82.89670045,3.124914986,69.3542925,0.548658959,0.007987097,1.69E-06
5400,"43,065",1638.126,95.18774474,0.084143133,9.821079773,0.004616628,155.6805347,1.168106117,86.40149242,0.615505126,30.16579466,0.278820661,47.29217176,0.076677029,0.905692445,0.009970663,38.01910617,0.918391326,129.1815064,1.872567703,83.47401264,3.137777377,69.88023512,0.551886693,0.007979563,1.69E-06
5500,"42,472",1653.264899,96.78276234,0.084771892,10.10562051,0.004699291,155.9934923,1.170446971,86.89713485,0.619116992,30.36871511,0.280393695,48.27200828,0.078021216,0.951156026,0.010344702,38.4393434,0.928234545,129.9844724,1.877008093,84.07161077,3.148943233,70.52119619,0.555679116,0.007968174,1.68E-06
5600,"41,884",1668.126984,98.28182425,0.085460186,10.48967552,0.004802432,156.3236686,1.17308295,87.42964808,0.622677579,30.74642514,0.283359431,48.97731528,0.078970877,0.972854516,0.010545081,38.98943245,0.938391795,130.8937925,1.882175235,84.72467604,3.161808606,71.29882166,0.559775944,0.007958406,1.68E-06
5700,"41,253",1682.925929,99.91253024,0.086193438,10.74874449,0.004869974,156.5680898,1.174854615,87.97037488,0.625885516,30.94221071,0.285111192,49.9521529,0.080201529,0.998493481,0.011172454,39.51798718,0.949766077,131.4621485,1.885935335,85.29459802,3.172902764,71.9251547,0.563627764,0.007948662,1.68E-06
