Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization,
4500,"75,272",1631.101297,86.25282305,0.081747599,5.736662706,0.003164868,197.4559857,1.317970388,92.39705932,0.587664973,29.65075998,0.242829337,37.88292372,0.062129541,0.476756024,0.005288005,35.14038373,0.776113218,130.8115446,1.782547349,86.86700397,2.947775241,71.97264456,0.533231945,33.83531709,0,0
4600,"73,866",1650.00495,88.14707702,0.082678861,6.024519049,0.003266659,198.2557474,1.322989128,93.23080439,0.593494145,30.08356163,0.246028166,39.29295346,0.063908423,0.489493856,0.00537528,35.82497237,0.78828287,132.0046789,1.790374687,87.69694456,2.966902309,73.16678745,0.539239048,34.33229944,0,0
4700,"72,544",1668.608645,90.0400736,0.083581777,6.272312589,0.003346172,198.9880169,1.327807195,94.076602,0.598872582,30.46106501,0.248694969,40.52959376,0.065622219,0.520430078,0.00565193,36.67437707,0.805177625,133.239884,1.797676087,88.55968685,2.984050712,74.18863657,0.544749568,34.79574023,0,0
4800,"71,279",1686.696379,91.63865092,0.084406599,6.526022712,0.003443845,199.665252,1.332322672,94.80620702,0.603657796,30.89542145,0.251620377,41.58521128,0.066946292,0.528947728,0.005699633,37.42272942,0.821394744,134.5035671,1.804946552,89.35995782,3.000620876,75.16270068,0.549804603,35.17025921,0,0
4900,"70,102",1704.847553,93.64852677,0.085372,6.778884389,0.003530292,200.2634502,1.336309938,95.52315236,0.608370594,31.33143956,0.254842608,42.67560881,0.068152442,0.536534076,0.005759619,37.90416356,0.831306904,135.5590826,1.811095886,90.19571806,3.017646644,76.14262623,0.554414696,35.60040196,0,0
5000,"68,972",1722.637345,95.52869393,0.08617906,7.066142337,0.003619552,200.9242737,1.340562671,96.28060262,0.613599191,31.74048331,0.257740154,43.68136369,0.069455737,0.546695352,0.005845692,38.57043317,0.843783386,136.6438668,1.817864846,91.09359432,3.034474548,77.14132426,0.559381426,36.04098438,0,0
5100,"67,852",1740.034955,97.24935167,0.087007996,7.241286116,0.003679983,201.5613594,1.34459631,97.00171386,0.617885819,32.08077863,0.260350459,44.86965874,0.070964942,0.553424924,0.005910509,39.2519311,0.857862884,137.7385894,1.82436496,91.89344682,3.051321539,78.17243704,0.564738272,36.47459481,0,0
5200,"66,769",1757.238633,99.02518053,0.087731785,7.489421746,0.003756671,202.0684735,1.348135687,97.7063684,0.622732434,32.6100257,0.264566919,46.0396314,0.07245755,0.566294672,0.006030427,39.9101856,0.870788488,138.6504717,1.830076166,92.66268481,3.066181288,79.05590775,0.569444515,36.84726956,0,0
5300,"65,738",1774.239799,100.8485815,0.088568838,7.752814645,0.003835411,202.6825638,1.351907205,98.44662749,0.626923959,33.06340421,0.267662678,47.14334227,0.07393922,0.569354426,0.006067685,40.46518399,0.881521226,139.6346297,1.835666164,93.37420092,3.079286493,80.00218274,0.574177423,37.21625792,0,0
5400,"64,736",1791.045039,102.7214756,0.089360274,8.033433047,0.003920477,203.218914,1.355347083,99.08954806,0.630730033,33.52889844,0.271064264,48.39953903,0.075557849,0.577233665,0.00614837,41.14014055,0.894589495,140.6984298,1.841347092,94.12948292,3.094219435,80.92456438,0.578924062,37.60171111,0,0
5500,"63,711",1807.533781,104.496431,0.090112324,8.326599623,0.004007935,203.7472119,1.358787517,99.66236649,0.634300446,33.81787239,0.273149509,49.43562161,0.076781276,0.600109737,0.006320444,41.69655502,0.90400687,141.6746419,1.846417882,94.77828491,3.106890388,81.78481391,0.58334218,37.93499284,0,0
5600,"62,741",1823.848979,106.3261879,0.090890988,8.629949715,0.004098479,204.1917923,1.361660642,100.3032076,0.637876397,34.1699034,0.275520971,50.56026196,0.078213424,0.606397821,0.006380619,42.10702756,0.912073993,142.5408299,1.851299966,95.56546595,3.119742638,82.56201526,0.587490414,38.25426816,0,0
5700,"61,825",1839.975472,108.1841213,0.091657836,8.964679509,0.004188413,204.6816666,1.36515233,100.9361494,0.64153979,34.43958581,0.277346185,51.89321823,0.079809082,0.634415075,0.006587732,42.73252346,0.922946855,143.5050938,1.856830484,96.28998709,3.133928904,83.46600163,0.592254404,38.69454278,0,0
5800,"60,892",1855.907015,110.066503,0.092434334,9.273653586,0.004267931,205.190112,1.368443013,101.5694239,0.645335751,34.80744469,0.280068512,52.93778153,0.081093246,0.643722579,0.006781678,43.35169997,0.935042306,144.24361,1.861751233,96.98295235,3.147048513,84.26540366,0.596624306,39.04358054,0,0
5900,"60,008",1871.440812,111.7076333,0.09312095,9.503225381,0.004334218,205.6032464,1.37124296,102.1310618,0.648675867,35.17239019,0.282597186,53.96407608,0.082418449,0.682628178,0.007252651,43.94820494,0.946056802,145.0656558,1.866950897,97.75080262,3.160946154,85.04350112,0.600516421,39.38063153,0,0
6000,"59,173",1886.704694,113.2427117,0.09368702,9.771501124,0.004399036,206.0292601,1.374016322,102.6898796,0.651935876,35.39808674,0.284233743,54.90599888,0.083479165,0.705472541,0.007527082,44.55419029,0.956444424,145.8085827,1.871372635,98.35289466,3.171475066,85.95722108,0.604373314,39.74833734,0,0
6100,"58,390",1902.179181,115.2723663,0.09451824,9.985912554,0.00445076,206.4674474,1.376778823,103.2840857,0.655738097,35.665226,0.286137445,55.88854373,0.084656368,0.733264519,0.007774242,45.15480721,0.968156485,146.5341639,1.876510852,99.08458827,3.185685135,86.74008103,0.608648977,40.0889492,0,0
6200,"57,576",1917.271134,117.0609164,0.095132977,10.20243613,0.004511871,206.9384814,1.379840917,103.790247,0.658509426,35.88478856,0.287614484,56.82228148,0.085831928,0.748274465,0.007858008,45.71390396,0.979140798,147.3650815,1.88106544,99.81176847,3.19801737,87.52551663,0.612376732,40.38717207,0,0
6300,"56,812",1932.163615,118.8212371,0.095774272,10.43447566,0.004568455,207.3479253,1.382408583,104.3326498,0.661965068,36.1905736,0.289726222,57.78150057,0.087065529,0.768312405,0.008071961,46.3961322,0.991759704,148.004684,1.885243622,100.4875054,3.21030936,88.32437591,0.616300278,40.70727358,0,0
6400,"56,029",1946.838106,120.5415288,0.096437196,10.78238311,0.00464419,207.769909,1.385445902,104.9098134,0.665186079,36.47865331,0.291759936,58.89623437,0.088426382,0.793256225,0.008261172,47.08638305,1.005782095,148.6615113,1.88966884,101.2493694,3.222500549,89.04428432,0.620074132,40.98976876,0,0
6500,"55,241",1961.070914,121.924875,0.096958358,11.1083865,0.004719011,208.0961749,1.387481221,105.3919694,0.668066024,36.74393478,0.293562293,59.6259833,0.089292381,0.806023143,0.008372512,47.64060336,1.014637705,149.2877661,1.89317679,101.8615145,3.232799858,89.68392349,0.623234977,41.26443855,0,0
7500,"54,582",2096.421306,137.3990302,0.102592485,14.3664312,0.005395075,211.4706352,1.410352449,109.8379499,0.694166625,39.36015368,0.311603271,68.96668034,0.100850296,0.930869641,0.00965194,52.74004005,1.109146285,155.0470725,1.929271878,107.5340275,3.335774182,96.75240398,0.656874876,43.95879924,0,0
10000,"48,321",2377.413931,169.3365916,0.112934343,29.5254166,0.007756308,217.339731,1.448907564,118.2686183,0.741303263,43.80028302,0.341682859,87.2435927,0.122481335,1.174237913,0.011602842,62.72255327,1.280130071,164.3215984,1.991511259,118.5465843,3.532186078,109.8350608,0.721348408,49.31257369,0,0
15000,"37,455",2776.213546,211.5348284,0.125239218,101.8401418,0.015763848,223.2241141,1.48713896,128.1902245,0.796524001,48.10293128,0.369595338,110.7279789,0.150321148,1.692102161,0.016046229,77.76577428,1.511116164,173.9167121,2.069592201,133.0877518,3.789590343,129.0382763,0.812860549,56.61231143,0.017201389,3.20299E-06
